strategy,R,P_max,loop_rate,ci_lo,ci_hi,n
lt_fsd,3,60,0.0,0.0,0.0,150
lt_fsd,3,90,0.0,0.0,0.0,150
lt_fsd,3,120,0.0,0.0,0.0,150
lt_fsd,4,30,0.0,0.0,0.0,150
lt_fsd,4,45,0.0,0.0,0.0,150
lt_fsd,4,60,0.0,0.0,0.0,150
lt_fsd,4,90,0.0,0.0,0.0,150
lt_fsd,4,120,0.0,0.0,0.0,150
lt_fsd,5,30,0.0,0.0,0.0,150
lt_fsd,5,45,0.0,0.0,0.0,150
lt_fsd,5,60,0.0,0.0,0.0,150
lt_fsd,5,90,0.0,0.0,0.0,150
lt_fsd,5,120,0.0,0.0,0.0,150
lt_fsd,6,30,0.0,0.0,0.0,150
lt_fsd,6,45,0.0,0.0,0.0,150
lt_fsd,6,60,0.0,0.0,0.0,150
lt_fsd,6,90,0.0,0.0,0.0,150
lt_fsd,6,120,0.0,0.0,0.0,150
lt_fsd,7,30,0.0,0.0,0.0,150
lt_fsd,7,45,0.0,0.0,0.0,150
lt_fsd,7,60,0.0,0.0,0.0,150
lt_fsd,7,90,0.0,0.0,0.0,150
lt_fsd,7,120,0.0,0.0,0.0,150
lt_lzpenalty,3,30,0.0133,0.0,0.0333,150
lt_lzpenalty,3,45,0.0133,0.0,0.0333,150
lt_lzpenalty,3,60,0.0133,0.0,0.0333,150
lt_lzpenalty,3,90,0.0133,0.0,0.0333,150
lt_lzpenalty,3,120,0.0133,0.0,0.0333,150
lt_lzpenalty,4,30,0.0,0.0,0.0,150
lt_lzpenalty,4,45,0.0,0.0,0.0,150
lt_lzpenalty,4,60,0.0,0.0,0.0,150
lt_lzpenalty,4,90,0.0,0.0,0.0,150
lt_lzpenalty,4,120,0.0,0.0,0.0,150
lt_lzpenalty,5,30,0.0,0.0,0.0,150
lt_lzpenalty,5,45,0.0,0.0,0.0,150
lt_lzpenalty,5,60,0.0,0.0,0.0,150
lt_lzpenalty,5,90,0.0,0.0,0.0,150
lt_lzpenalty,5,120,0.0,0.0,0.0,150
lt_lzpenalty,6,30,0.0,0.0,0.0,150
lt_lzpenalty,6,45,0.0,0.0,0.0,150
lt_lzpenalty,6,60,0.0,0.0,0.0,150
lt_lzpenalty,6,90,0.0,0.0,0.0,150
lt_lzpenalty,6,120,0.0,0.0,0.0,150
lt_lzpenalty,7,30,0.0,0.0,0.0,150
lt_lzpenalty,7,45,0.0,0.0,0.0,150
lt_lzpenalty,7,60,0.0,0.0,0.0,150
lt_lzpenalty,7,90,0.0,0.0,0.0,150
lt_lzpenalty,7,120,0.0,0.0,0.0,150
lt_risk_only,3,30,0.3,0.2533,0.36,150
